count,timestamp,y,y_target,z,z_target,vy,vy_target,vz,vz_target,roll,roll_target,pitch,yaw,thrust,joy_roll,joy_pitch,joy_throttle,joy_yaw,dt
148,6107281062000,0.12454910576025834,0.1,0.12999999523162842,0.12000000029802323,-0.016566216245515172,-0.03682339022676831,-0.027239540591835976,-0.029999984800815574,2.1012796386853525,0.512162304202028,-1.798735740125665,89.999590759782,0.4416094460595314,0.011381384537822845,0.0,-0.11678110788093721,0.0,0.033579578
149,6107350453000,0.12454903601738188,0.1,0.12999999523162842,0.12000000029802323,-0.07184108719495941,-0.03682339022676831,-0.06989642977714539,-0.029999984800815574,1.4231336509033345,1.759438308981276,-1.6600711393038279,89.93936447210409,0.47649031813917425,0.0390986290884728,0.0,-0.0470193637216515,0.0,0.050599768
150,6107384223000,0.1245491011238421,0.1,0.12999999523162842,0.12000000029802323,-0.07396098187188699,-0.03682339022676831,-0.06783277541399002,-0.029999984800815574,1.3327207013452838,0.789054469688501,-1.5583546928846284,90.01563893878412,0.47302422375641406,0.017534543770855577,0.0,-0.05395155248717187,0.0,0.048980416000000006
151,6107419090000,0.12454900909699175,0.1,0.12999999523162842,0.12000000029802323,-0.058885305037098476,-0.03682339022676831,-0.06940436363220215,-0.029999984800815574,1.4171296776054905,0.4824037853750836,-1.4887768847568368,90.07138471368988,0.47381779739053365,0.010720084119446303,0.0,-0.05236440521893271,0.0,0.050742190000000006
152,6107488393000,0.11496836591298266,0.1,0.12999999523162842,0.12000000029802323,-0.03926203121076153,-0.03435739778203071,-0.014175564050674438,-0.029999984800815574,2.02454719281706,-0.6443448292545186,-1.6147013375278525,89.94890706245425,0.4401059875664098,-0.014318773983433748,0.0,-0.11978802486718043,0.0,0.04965876
153,6107522104000,0.11496838717551064,0.1,0.12999999523162842,0.12000000029802323,-0.04809353364804971,-0.02783047290378958,-0.029471710324287415,-0.029999984800815574,1.9080058096294858,-2.139174482559712,-1.6491091289837283,89.96263386137247,0.45740095075126036,-0.047537210723549155,0.0,-0.08519809849747928,0.0,0.059689393
154,6107590013000,0.11496835686703384,0.1,0.14000000059604645,0.12000000029802323,-0.06598120313429012,-0.02505671712479625,-0.021709023043513298,-0.06000000089406966,1.2945737575036567,-1.8593544951232943,-1.95985676010279,89.94407966269655,0.44218174948703615,-0.04131898878051765,0.0,-0.11563650102592771,0.0,0.039994197
155,6107624019000,0.11496839082830736,0.1,0.14000000059604645,0.12000000029802323,-0.06820630090044066,-0.022452586242461027,-0.007381980773061514,-0.06000000089406966,1.2943205152180943,-0.20939142643511163,-1.9285639470391573,89.96553807182768,0.4344287587307001,-0.004653142809669148,0.0,-0.13114248253859984,0.0,0.050680204000000006
156,6107693118000,0.1053877008447293,0.1,0.14000000059604645,0.12000000029802323,-0.06180260123073467,-0.019947458515796025,0.0034141603391617537,-0.06000000089406966,1.9188403403105598,-0.4084119167150078,-1.7119194666778192,89.98958978874619,0.4296651890879982,-0.009075820371444618,0.0,-0.14066962182400355,0.0,0.050051251000000005
157,6107730154000,0.10538767390254838,0.1,0.14000000059604645,0.12000000029802323,-0.04610254107370421,-0.015014655331733018,-0.03159055486321449,-0.06000000089406966,1.661152292951151,-2.1153649697795895,-1.7780530880808612,89.9577287340479,0.45270380978417785,-0.04700811043954643,0.0,-0.09459238043164431,0.0,0.049533647
158,6107798084000,0.10538741470222661,0.1,0.14999999105930328,0.12000000029802323,-0.04884323376279945,-0.008081122053339905,0.03906404972076416,-0.08999997228384017,0.4025859242860519,-0.41503455245244814,-1.6330579561599297,89.86607857977185,0.39380424744587905,-0.009222990054498847,0.0,-0.2123915051082419,0.0,0.050481832000000004
159,6107833069000,0.10538744808866098,0.1,0.14999999105930328,0.12000000029802323,-0.08584800267076731,-0.008081122053339905,0.024527359753847122,-0.08999997228384017,-0.2912862070401705,-0.02825706321367567,-1.5485797994824153,89.87408342764452,0.40920326455274203,-0.0006279347380816815,0.0,-0.18159347089451594,0.0,0.056126854000000004
160,6107903078000,0.10538769119716317,0.1,0.14999999105930328,0.12000000029802323,-0.07131037496080078,-0.008081122053339905,0.006092647090554237,-0.08999997228384017,0.5331973481196167,0.7961275280023015,-1.74372405006577,90.0266347913855,0.4201837315877593,0.017691722844495588,0.0,-0.15963253682448142,0.0,0.043790341
161,6107939052000,0.09580683102402464,0.1,0.14999999105930328,0.12000000029802323,-0.047796316857745984,-0.0031811220533399043,-0.0033599892631173134,-0.08999997228384017,1.125504619093476,-2.9155300802908792,-2.069470515450107,90.10792599194828,0.42043691915040765,-0.06478955733979731,0.0,-0.1591261616991847,0.0,0.07
162,6107973119000,0.09580699675851381,0.1,0.1599999964237213,0.12000000029802323,-0.030036413207800365,0.0030310872220936334,-0.02198563516139984,-0.11999998837709426,1.2063217594391913,-3.2967413210055274,-2.0183685217541356,89.98296172505415,0.4172549959445318,-0.07326091824456728,0.0,-0.1654900081109364,0.0,0.051239256000000004
163,6108043030000,0.09580661579218176,0.1,0.14999999105930328,0.12000000029802323,-0.024378543265336932,0.006290076311727365,-0.08422411978244781,-0.08999997228384017,0.12111728223935836,0.49622451104993026,-2.0176365664721603,89.83752606395917,0.45771517608869744,0.011027211356665116,0.0,-0.08456964782260512,0.0,0.07
164,6108149901000,0.09580697701899352,0.1,0.14999999105930328,0.12000000029802323,-0.04258197581717199,0.006290076311727365,-0.07896359264850616,-0.08999997228384017,0.2776733519298036,-1.1060558089865902,-1.6066191172329054,90.04053447596338,0.44606198170265177,-0.024579017977479783,0.0,-0.10787603659469647,0.0,0.046137827000000006
