count,timestamp,qx,qy,qz,qw,p,q,r,ax,ay,az,x,y,z,vx,vy,vz,roll,pitch,yaw,y_actual,vy_actual
148,6107281062000,0.024061070755124092,0.0018668106058612466,0.7071017622947693,0.706699788570404,-0.14993137121200562,-0.00967323686927557,0.040245816111564636,0.8746882081031799,-0.2599134147167206,-9.532445907592773,-0.12454910576343536,0.0,0.12999999523162842,0.016566123813390732,-0.012941041961312294,-0.027239540591835976,2.1012796386853525,-1.798735740125665,89.999590759782,0.12454910576025834,-0.016566216245515172
149,6107350453000,0.019022369757294655,-0.0014721279731020331,0.7067311406135559,0.7072249054908752,-0.12538836896419525,-0.09040818363428116,-0.0008392042363993824,0.338802695274353,0.4575292468070984,-9.021475791931152,-0.12454910576343536,0.0,0.12999999523162842,0.07185448706150055,0.012623795308172703,-0.06989642977714539,1.4231336509033345,-1.6600711393038279,89.93936447210409,0.12454903601738188,-0.07184108719495941
150,6107384223000,0.017838170751929283,-0.001389877637848258,0.7072018384933472,0.7067852020263672,0.07236813008785248,-0.04181394726037979,-0.051344115287065506,-0.06494568288326263,0.18971110880374908,-9.729113578796387,-0.12454910576343536,0.0,0.12999999523162842,0.07396119832992554,-0.0007829351234249771,-0.06783277541399002,1.3327207013452838,-1.5583546928846284,90.01563893878412,0.1245491011238421,-0.07396098187188699
151,6107419090000,0.017929742112755775,-0.0004309420473873615,0.7075468301773071,0.7064387798309326,0.10357064753770828,0.03913139924407005,0.02006443403661251,0.11031327396631241,-0.09642810374498367,-10.255191802978516,-0.12454910576343536,0.0,0.12999999523162842,0.0588962621986866,-0.008757900446653366,-0.06940436363220215,1.4171296776054905,-1.4887768847568368,90.07138471368988,0.12454900909699175,-0.058885305037098476
152,6107488393000,0.022453954443335533,0.002519007073715329,0.7067870497703552,0.7070654034614563,-0.003560893703252077,0.09993142634630203,0.005091655999422073,0.19809818267822266,-0.23461739718914032,-9.521248817443848,-0.11496841162443161,0.0,0.12999999523162842,0.03925873339176178,-0.003715689294040203,-0.014175564050674438,2.02454719281706,-1.6147013375278525,89.94890706245425,0.11496836591298266,-0.03926203121076153
153,6107522104000,0.021946780383586884,0.001590408501215279,0.7068744897842407,0.7069966793060303,-0.14202363789081573,-0.0022792862728238106,0.011680509895086288,0.4095843732357025,0.1670326590538025,-9.753081321716309,-0.11496841162443161,0.0,0.12999999523162842,0.04809713736176491,0.0055101108737289906,-0.029471710324287415,1.9080058096294858,-1.6491091289837283,89.96263386137247,0.11496838717551064,-0.04809353364804971
154,6107590013000,0.020077312365174294,-0.004115017130970955,0.7067497968673706,0.7071665525436401,-0.03654967620968819,-0.0110190873965621,0.005164380185306072,0.09638607501983643,0.12236054986715317,-10.37412166595459,-0.11496841162443161,0.0,0.14000000059604645,0.06597276031970978,-0.008682673797011375,-0.021709023043513298,1.2945737575036567,-1.95985676010279,89.94407966269655,0.11496835686703384,-0.06598120313429012
155,6107624019000,0.01988355815410614,-0.003919667098671198,0.7068833112716675,0.7070397138595581,0.10242445766925812,0.030105026438832283,-0.040782179683446884,0.4422164559364319,0.04000876098871231,-9.929012298583984,-0.11496841162443161,0.0,0.14000000059604645,0.06819473952054977,-0.01924225129187107,-0.007381980773061514,1.2943205152180943,-1.9285639470391573,89.96553807182768,0.11496839082830736,-0.06820630090044066
156,6107693118000,0.022400589659810066,0.0012748048175126314,0.7070413827896118,0.7068160772323608,0.12211568653583527,-0.013062835671007633,0.01891542598605156,0.48427799344062805,-0.04439382627606392,-9.013744354248047,-0.10538770258426666,0.0,0.14000000059604645,0.06180334836244583,0.004106453154236078,0.0034141603391617537,1.9188403403105598,-1.7119194666778192,89.98958978874619,0.1053877008447293,-0.06180260123073467
157,6107730154000,0.02121875062584877,-0.0007291835499927402,0.7068456411361694,0.7070491313934326,-0.2512870132923126,-0.035416699945926666,0.004697881173342466,0.09628596901893616,-0.9229875802993774,-10.275932312011719,-0.10538770258426666,0.0,0.14000000059604645,0.04610712081193924,0.006190510932356119,-0.03159055486321449,1.661152292951151,-1.7780530880808612,89.9577287340479,0.10538767390254838,-0.04610254107370421
